Type,Status,Departure IATA Code,Departure Gate,Departure Delay (min),Scheduled Departure Time,Estimated Departure Time,Actual Departure Time,Arrival IATA Code,Arrival Terminal,Scheduled Arrival Time,Estimated Arrival Time,Airline Name,Flight Number,IATA Flight Number
departure,active,yul,c77,35,2024-01-21t06:45:00.000,2024-01-21t06:45:00.000,2024-01-21t07:20:00.000,mco,b,2024-01-21t10:20:00.000,2024-01-21t10:19:00.000,porter airlines,7820,pd7820
departure,active,yul,a63,22,2024-01-21t06:45:00.000,2024-01-21t06:45:00.000,2024-01-21t07:06:00.000,ptp,,2024-01-21t12:35:00.000,2024-01-21t12:23:00.000,air transat,894,ts894
departure,active,yul,a59,40,2024-01-21t06:50:00.000,2024-01-21t06:50:00.000,2024-01-21t07:30:00.000,ccc,,2024-01-21t10:50:00.000,2024-01-21t11:17:00.000,sunwing,604,wg604
departure,cancelled,yul,a9,0,2024-01-21t07:00:00.000,,,yyz,1,2024-01-21t08:36:00.000,,egyptair,9621,ms9621
departure,active,yul,c85,37,2024-01-21t07:00:00.000,2024-01-21t07:00:00.000,2024-01-21t07:37:00.000,atl,i,2024-01-21t10:13:00.000,2024-01-21t10:06:00.000,aeromexico,4314,am4314
departure,active,yul,c81,35,2024-01-21t07:00:00.000,2024-01-21t07:30:00.000,2024-01-21t07:35:00.000,mia,n,2024-01-21t11:05:00.000,2024-01-21t10:51:00.000,qatar airways,2236,qr2236
departure,active,yul,a23,28,2024-01-21t07:00:00.000,2024-01-21t07:15:00.000,2024-01-21t07:28:00.000,yhz,,2024-01-21t09:50:00.000,2024-01-21t09:47:00.000,air canada,8244,ac8244
departure,active,yul,c84,41,2024-01-21t07:00:00.000,2024-01-21t07:00:00.000,2024-01-21t07:41:00.000,msp,1,2024-01-21t09:30:00.000,2024-01-21t09:10:00.000,air france,2208,af2208
departure,active,yul,c82,26,2024-01-21t07:00:00.000,2024-01-21t07:29:00.000,2024-01-21t07:25:00.000,ewr,c,2024-01-21t09:03:00.000,2024-01-21t08:24:00.000,air canada,4594,ac4594
departure,active,yul,,32,2024-01-21t07:00:00.000,2024-01-21t06:58:00.000,2024-01-21t07:31:00.000,yyz,1,2024-01-21t08:36:00.000,2024-01-21t08:26:00.000,air canada,491,ac491
departure,active,yul,a67,10,2024-01-21t07:05:00.000,2024-01-21t07:15:00.000,,puj,a,2024-01-21t12:30:00.000,,air transat,398,ts398
departure,active,yul,a66,48,2024-01-21t07:10:00.000,2024-01-21t07:18:00.000,2024-01-21t07:57:00.000,hog,,2024-01-21t11:10:00.000,2024-01-21t11:55:00.000,air transat,2356,ts2356
departure,active,yul,a34,27,2024-01-21t07:15:00.000,2024-01-21t07:42:00.000,,yqb,,2024-01-21t08:10:00.000,,pal airlines,834,pb834
departure,active,yul,c79,334,2024-01-21t07:16:00.000,2024-01-21t12:50:00.000,,clt,,2024-01-21t10:16:00.000,,american airlines,5037,aa5037
departure,active,yul,58,2,2024-01-21t07:18:00.000,2024-01-21t07:20:00.000,,pty,1,2024-01-21t13:39:00.000,,copa airlines,484,cm484
departure,active,yul,c83,44,2024-01-21t07:19:00.000,2024-01-21t07:45:00.000,2024-01-21t08:03:00.000,lga,b,2024-01-21t09:05:00.000,2024-01-21t09:06:00.000,american airlines,4469,aa4469
departure,active,yul,a68,19,2024-01-21t07:20:00.000,2024-01-21t07:39:00.000,,cun,4,2024-01-21t12:15:00.000,,air transat,538,ts538
departure,active,yul,a65,0,2024-01-21t07:20:00.000,2024-01-21t07:20:00.000,,pvr,,2024-01-21t12:40:00.000,,sunwing,525,wg525
departure,active,yul,a48,49,2024-01-21t07:30:00.000,2024-01-21t07:30:00.000,2024-01-21t08:19:00.000,yvr,d,2024-01-21t10:20:00.000,2024-01-21t10:05:00.000,cathay pacific,1505,cx1505
departure,cancelled,yul,a2,0,2024-01-21t07:30:00.000,2024-01-21t07:30:00.000,,ytz,,2024-01-21t08:56:00.000,,air canada,7953,ac7953
departure,active,yul,a6,36,2024-01-21t07:35:00.000,2024-01-21t07:50:00.000,2024-01-21t08:11:00.000,yyz,3,2024-01-21t09:11:00.000,2024-01-21t09:09:00.000,air transat,7702,ts7702
departure,active,yul,a50,15,2024-01-21t07:50:00.000,2024-01-21t08:05:00.000,,yyc,,2024-01-21t10:35:00.000,,air canada,321,ac321
departure,active,yul,a21,36,2024-01-21t07:55:00.000,2024-01-21t08:00:00.000,2024-01-21t08:30:00.000,yqm,,2024-01-21t10:23:00.000,2024-01-21t10:34:00.000,air canada,7992,ac7992
departure,active,yul,a9,65,2024-01-21t07:55:00.000,2024-01-21t09:00:00.000,,yhz,,2024-01-21t10:31:00.000,,air canada rouge,1590,rv1590
departure,active,yul,a27,45,2024-01-21t07:55:00.000,2024-01-21t08:20:00.000,2024-01-21t08:40:00.000,yyg,,2024-01-21t10:27:00.000,2024-01-21t10:49:00.000,air canada,8214,ac8214
departure,active,yul,a61,46,2024-01-21t08:00:00.000,2024-01-21t08:00:00.000,2024-01-21t08:46:00.000,puj,a,2024-01-21t13:30:00.000,2024-01-21t13:55:00.000,sunwing,434,wg434
departure,active,yul,c75,30,2024-01-21t08:00:00.000,2024-01-21t08:00:00.000,2024-01-21t08:29:00.000,las,3,2024-01-21t10:50:00.000,2024-01-21t10:22:00.000,air canada rouge,1707,rv1707
departure,active,yul,c73,35,2024-01-21t08:00:00.000,2024-01-21t08:00:00.000,2024-01-21t08:35:00.000,lga,b,2024-01-21t09:38:00.000,2024-01-21t09:34:00.000,united airlines,8182,ua8182
departure,active,yul,c80,85,2024-01-21t08:05:00.000,2024-01-21t09:30:00.000,,den,,2024-01-21t10:35:00.000,,united airlines,8523,ua8523
departure,active,yul,a28,40,2024-01-21t08:05:00.000,2024-01-21t08:45:00.000,,ydf,,2024-01-21t11:43:00.000,,air canada,7718,ac7718
departure,active,yul,a5,41,2024-01-21t08:10:00.000,2024-01-21t08:05:00.000,2024-01-21t08:50:00.000,yeg,,2024-01-21t11:02:00.000,2024-01-21t10:55:00.000,air canada,331,ac331
departure,active,yul,a49,51,2024-01-21t08:10:00.000,2024-01-21t09:10:00.000,2024-01-21t09:00:00.000,yyz,1,2024-01-21t09:46:00.000,2024-01-21t09:58:00.000,azul,7805,ad7805
departure,active,yul,a51,37,2024-01-21t08:10:00.000,2024-01-21t08:02:00.000,2024-01-21t08:47:00.000,cun,3,2024-01-21t13:00:00.000,2024-01-21t13:03:00.000,air canada,926,ac926
departure,active,yul,a4,42,2024-01-21t08:15:00.000,2024-01-21t08:55:00.000,2024-01-21t08:57:00.000,yow,,2024-01-21t09:08:00.000,2024-01-21t09:21:00.000,air canada,8001,ac8001
departure,active,yul,c86,34,2024-01-21t08:15:00.000,2024-01-21t08:15:00.000,2024-01-21t08:49:00.000,bos,b,2024-01-21t09:43:00.000,2024-01-21t09:41:00.000,united airlines,8416,ua8416
departure,active,yul,a55,37,2024-01-21t08:15:00.000,2024-01-21t08:20:00.000,2024-01-21t08:52:00.000,mbj,,2024-01-21t12:55:00.000,2024-01-21t13:01:00.000,air canada,922,ac922
departure,active,yul,a60,50,2024-01-21t08:15:00.000,2024-01-21t08:20:00.000,2024-01-21t09:04:00.000,puj,a,2024-01-21t13:40:00.000,2024-01-21t13:53:00.000,air canada,944,ac944
departure,active,yul,c88,39,2024-01-21t08:15:00.000,2024-01-21t08:50:00.000,2024-01-21t08:53:00.000,ewr,a,2024-01-21t09:54:00.000,2024-01-21t09:51:00.000,united airlines,8487,ua8487
departure,active,yul,a64,0,2024-01-21t08:20:00.000,2024-01-21t08:20:00.000,,pop,,2024-01-21t13:30:00.000,,air transat,890,ts890
departure,active,yul,a8,39,2024-01-21t08:30:00.000,2024-01-21t08:14:00.000,2024-01-21t09:09:00.000,ytz,,2024-01-21t09:55:00.000,2024-01-21t10:13:00.000,air transat,7858,ts7858
departure,active,yul,c76,30,2024-01-21t08:30:00.000,2024-01-21t09:00:00.000,,mia,s,2024-01-21t12:25:00.000,,sa avianca,6951,av6951
departure,active,yul,a11,60,2024-01-21t08:30:00.000,2024-01-21t09:30:00.000,,yqb,,2024-01-21t09:28:00.000,,air canada rouge,1960,rv1960
departure,active,yul,a12,37,2024-01-21t08:30:00.000,2024-01-21t08:45:00.000,2024-01-21t09:06:00.000,ytz,,2024-01-21t09:56:00.000,2024-01-21t10:08:00.000,air canada,7955,ac7955
departure,active,yul,c85,25,2024-01-21t08:30:00.000,2024-01-21t08:55:00.000,,dca,1,2024-01-21t10:25:00.000,,united airlines,8666,ua8666
departure,active,yul,c84,60,2024-01-21t08:30:00.000,2024-01-21t09:30:00.000,,ord,2,2024-01-21t10:12:00.000,,united airlines,8371,ua8371
departure,active,yul,a19,33,2024-01-21t08:30:00.000,2024-01-21t08:30:00.000,2024-01-21t09:02:00.000,ygw,,2024-01-21t11:25:00.000,2024-01-21t11:32:00.000,air inuit,802,3h802
departure,active,yul,c74,25,2024-01-21t08:40:00.000,2024-01-21t09:05:00.000,,fll,2,2024-01-21t12:28:00.000,,air canada rouge,1600,rv1600
departure,active,yul,c77,10,2024-01-21t08:45:00.000,2024-01-21t08:55:00.000,,sju,c,2024-01-21t14:15:00.000,,porter airlines,7640,pd7640
departure,active,yul,c81,39,2024-01-21t08:50:00.000,2024-01-21t08:54:00.000,2024-01-21t09:28:00.000,pbi,,2024-01-21t12:45:00.000,2024-01-21t12:33:00.000,air canada,1250,ac1250
departure,active,yul,c56,10,2024-01-21t08:55:00.000,2024-01-21t09:05:00.000,,fll,2,2024-01-21t12:51:00.000,,air canada,1002,ac1002
departure,active,yul,a52,31,2024-01-21t09:00:00.000,2024-01-21t08:57:00.000,2024-01-21t09:30:00.000,zih,a,2024-01-21t14:20:00.000,2024-01-21t14:13:00.000,air canada,1325,ac1325
departure,active,yul,a66,20,2024-01-21t09:00:00.000,2024-01-21t09:20:00.000,,mbj,,2024-01-21t13:40:00.000,,sunwing,792,wg792
departure,active,yul,a57,25,2024-01-21t09:00:00.000,2024-01-21t08:55:00.000,2024-01-21t09:25:00.000,ptp,,2024-01-21t14:55:00.000,2024-01-21t14:42:00.000,air canada,948,ac948
departure,active,yul,a32,34,2024-01-21t09:00:00.000,2024-01-21t09:15:00.000,2024-01-21t09:34:00.000,ybg,,2024-01-21t10:11:00.000,2024-01-21t10:23:00.000,air canada,7910,ac7910
departure,active,yul,a59,46,2024-01-21t09:01:00.000,2024-01-21t08:59:00.000,2024-01-21t09:47:00.000,mex,2,2024-01-21t14:30:00.000,2024-01-21t14:24:00.000,latam airlines,7728,la7728
departure,active,yul,a58,0,2024-01-21t09:05:00.000,2024-01-21t09:05:00.000,,cmn,2,2024-01-21t21:40:00.000,,royal air maroc,207,at207
departure,active,yul,a1,28,2024-01-21t09:10:00.000,2024-01-21t09:25:00.000,2024-01-21t09:37:00.000,yyz,1,2024-01-21t10:46:00.000,2024-01-21t10:30:00.000,aer lingus,8507,ei8507
departure,active,yul,a48,27,2024-01-21t09:15:00.000,2024-01-21t09:15:00.000,2024-01-21t09:42:00.000,yvr,d,2024-01-21t12:05:00.000,2024-01-21t11:41:00.000,ana,6819,nh6819
departure,active,yul,a67,29,2024-01-21t09:15:00.000,2024-01-21t09:45:00.000,2024-01-21t09:44:00.000,cur,,2024-01-21t15:40:00.000,2024-01-21t15:26:00.000,air canada rouge,1844,rv1844
departure,active,yul,c82,33,2024-01-21t09:15:00.000,2024-01-21t09:51:00.000,2024-01-21t09:48:00.000,iad,,2024-01-21t11:30:00.000,2024-01-21t11:23:00.000,air canada,4927,ac4927
departure,active,yul,c83,37,2024-01-21t09:20:00.000,2024-01-21t09:30:00.000,2024-01-21t09:56:00.000,mco,b,2024-01-21t12:58:00.000,2024-01-21t12:55:00.000,air canada rouge,1634,rv1634
departure,active,yul,a63,65,2024-01-21t09:20:00.000,2024-01-21t10:25:00.000,,dxb,3,2024-01-22t06:30:00.000,,emirates,244,ek244
departure,active,yul,a65,47,2024-01-21t09:30:00.000,2024-01-21t09:34:00.000,2024-01-21t10:16:00.000,pvr,,2024-01-21t15:00:00.000,2024-01-21t14:58:00.000,air canada,999,ac999
departure,active,yul,a60,25,2024-01-21t09:30:00.000,2024-01-21t09:30:00.000,2024-01-21t09:54:00.000,lrm,,2024-01-21t15:30:00.000,2024-01-21t14:52:00.000,air canada rouge,1756,rv1756
departure,active,yul,a68,40,2024-01-21t09:30:00.000,2024-01-21t10:10:00.000,,cun,2,2024-01-21t14:25:00.000,,sunwing,537,wg537
departure,active,yul,a51,33,2024-01-21t09:40:00.000,2024-01-21t09:35:00.000,2024-01-21t10:12:00.000,bgi,,2024-01-21t16:00:00.000,2024-01-21t15:54:00.000,air canada,962,ac962
departure,active,yul,a25,30,2024-01-21t09:45:00.000,2024-01-21t09:45:00.000,2024-01-21t10:15:00.000,yqy,,2024-01-21t12:36:00.000,2024-01-21t12:40:00.000,air canada,8096,ac8096
departure,active,yul,c75,37,2024-01-21t09:50:00.000,2024-01-21t09:56:00.000,2024-01-21t10:27:00.000,iah,a,2024-01-21t13:27:00.000,2024-01-21t13:22:00.000,united airlines,8706,ua8706
departure,active,yul,a34,3,2024-01-21t09:55:00.000,2024-01-21t09:55:00.000,2024-01-21t09:57:00.000,yqb,,2024-01-21t10:55:00.000,2024-01-21t10:45:00.000,pal airlines,852,pb852
