Type,Status,Departure IATA Code,Departure Gate,Departure Delay (min),Scheduled Departure Time,Estimated Departure Time,Actual Departure Time,Arrival IATA Code,Arrival Terminal,Scheduled Arrival Time,Estimated Arrival Time,Airline Name,Flight Number,IATA Flight Number
departure,active,yul,a66,31,2024-01-09t07:20:00.000,2024-01-09t07:51:00.000,,cun,4,2024-01-09t12:15:00.000,,air transat,538,ts538
departure,active,yul,c89,41,2024-01-09t07:30:00.000,2024-01-09t08:00:00.000,2024-01-09t08:11:00.000,phl,f,2024-01-09t09:35:00.000,2024-01-09t09:17:00.000,american airlines,5779,aa5779
departure,active,yul,a2,7,2024-01-09t07:30:00.000,2024-01-09t07:45:00.000,2024-01-09t07:37:00.000,ytz,,2024-01-09t08:56:00.000,2024-01-09t08:44:00.000,air canada,7953,ac7953
departure,active,yul,a6,14,2024-01-09t07:35:00.000,2024-01-09t07:35:00.000,2024-01-09t07:48:00.000,yyz,3,2024-01-09t09:11:00.000,2024-01-09t08:49:00.000,air transat,7702,ts7702
departure,active,yul,c75,12,2024-01-09t07:40:00.000,2024-01-09t07:51:00.000,2024-01-09t07:52:00.000,fll,2,2024-01-09t11:28:00.000,2024-01-09t10:57:00.000,air canada rouge,1600,rv1600
departure,active,yul,a50,27,2024-01-09t07:50:00.000,2024-01-09t07:53:00.000,2024-01-09t08:17:00.000,yyc,,2024-01-09t10:35:00.000,2024-01-09t10:14:00.000,tap air portugal,8007,tp8007
departure,active,yul,a11,8,2024-01-09t07:55:00.000,2024-01-09t07:51:00.000,2024-01-09t08:02:00.000,yhz,,2024-01-09t10:31:00.000,2024-01-09t10:00:00.000,tap air portugal,8045,tp8045
departure,active,yul,a4,28,2024-01-09t07:55:00.000,2024-01-09t08:16:00.000,2024-01-09t08:22:00.000,yqm,,2024-01-09t10:23:00.000,2024-01-09t10:24:00.000,air canada,7992,ac7992
departure,active,yul,a7,6,2024-01-09t07:55:00.000,2024-01-09t08:16:00.000,2024-01-09t08:01:00.000,yyg,,2024-01-09t10:27:00.000,2024-01-09t10:08:00.000,air canada,8214,ac8214
departure,active,yul,a10,5,2024-01-09t07:55:00.000,2024-01-09t07:55:00.000,2024-01-09t07:59:00.000,yvo,,2024-01-09t09:20:00.000,2024-01-09t09:09:00.000,air creebec,921,yn921
departure,active,yul,c81,42,2024-01-09t08:00:00.000,2024-01-09t08:15:00.000,2024-01-09t08:41:00.000,las,3,2024-01-09t10:50:00.000,2024-01-09t10:31:00.000,air canada rouge,1707,rv1707
departure,active,yul,c73,9,2024-01-09t08:00:00.000,2024-01-09t08:21:00.000,2024-01-09t08:09:00.000,bos,b,2024-01-09t09:28:00.000,2024-01-09t09:01:00.000,united airlines,8416,ua8416
departure,active,yul,c74,16,2024-01-09t08:00:00.000,2024-01-09t08:21:00.000,2024-01-09t08:15:00.000,lga,b,2024-01-09t09:38:00.000,2024-01-09t09:06:00.000,united airlines,8182,ua8182
departure,active,yul,a59,14,2024-01-09t08:00:00.000,2024-01-09t07:56:00.000,2024-01-09t08:14:00.000,puj,a,2024-01-09t13:30:00.000,2024-01-09t13:18:00.000,sunwing,4228,wg4228
departure,active,yul,a61,19,2024-01-09t08:00:00.000,2024-01-09t08:00:00.000,2024-01-09t08:19:00.000,cun,2,2024-01-09t12:55:00.000,2024-01-09t12:27:00.000,sunwing,5237,wg5237
departure,active,yul,a27,3,2024-01-09t08:05:00.000,2024-01-09t08:26:00.000,2024-01-09t08:08:00.000,ydf,,2024-01-09t11:43:00.000,2024-01-09t11:19:00.000,air canada,7718,ac7718
departure,active,yul,a47,21,2024-01-09t08:10:00.000,2024-01-09t08:09:00.000,2024-01-09t08:31:00.000,yyz,1,2024-01-09t09:46:00.000,2024-01-09t09:28:00.000,azul,7805,ad7805
departure,active,yul,a1,38,2024-01-09t08:10:00.000,2024-01-09t08:26:00.000,2024-01-09t08:48:00.000,yeg,,2024-01-09t11:02:00.000,2024-01-09t10:53:00.000,air canada,331,ac331
departure,active,yul,a52,35,2024-01-09t08:10:00.000,2024-01-09t08:29:00.000,2024-01-09t08:44:00.000,cun,3,2024-01-09t13:00:00.000,2024-01-09t12:50:00.000,air canada,926,ac926
departure,active,yul,a4,45,2024-01-09t08:15:00.000,2024-01-09t09:00:00.000,,yow,,2024-01-09t09:08:00.000,,air canada,8001,ac8001
departure,active,yul,a58,14,2024-01-09t08:15:00.000,2024-01-09t08:10:00.000,2024-01-09t08:29:00.000,mbj,,2024-01-09t12:55:00.000,2024-01-09t12:36:00.000,air canada,922,ac922
departure,active,yul,a56,65,2024-01-09t08:15:00.000,2024-01-09t09:20:00.000,,puj,a,2024-01-09t13:40:00.000,,air canada,944,ac944
departure,active,yul,c81,21,2024-01-09t08:15:00.000,2024-01-09t08:36:00.000,,ewr,a,2024-01-09t09:54:00.000,,united airlines,8487,ua8487
departure,active,yul,a68,45,2024-01-09t08:20:00.000,2024-01-09t08:50:00.000,2024-01-09t09:05:00.000,pop,,2024-01-09t13:30:00.000,2024-01-09t13:53:00.000,air transat,890,ts890
departure,active,yul,a6,120,2024-01-09t08:30:00.000,2024-01-09t10:30:00.000,,ywg,,2024-01-09t10:47:00.000,,air canada,373,ac373
departure,active,yul,c83,54,2024-01-09t08:30:00.000,2024-01-09t09:00:00.000,2024-01-09t09:23:00.000,den,,2024-01-09t11:06:00.000,2024-01-09t10:52:00.000,united airlines,8523,ua8523
