Status,Departure Gate,Arrival IATA Code,Scheduled Departure Time,Departure Delay (min),Airline Name,Temperature,Feels Like,Pressure,Humidity,Wind Speed,Wind Degree,Clouds,Weather Main,Rain 1h,Snow 1h
landed,A57,CDG,2024-03-11 18:00:00,10.0,Air France,0.18,-2.99,1002,70,2.68,293,100,Clouds,0.0,0.0
landed,55,CDG,2024-03-11 20:00:00,38.0,Air France,2.12,-1.4,1003,66,3.58,248,100,Clouds,0.0,0.0
landed,A63,CDG,2024-03-11 20:00:00,21.0,Air Transat,2.12,-1.4,1003,66,3.58,248,100,Clouds,0.0,0.0
landed,C81,CLT,2024-03-11 14:00:00,24.0,American Airlines,-1.79,-7.81,999,72,6.17,290,100,Clouds,0.0,0.0
landed,C79,CLT,2024-03-11 07:00:00,50.0,American Airlines,-3.49,-10.49,995,86,8.23,270,100,Mist,0.0,0.0
landed,A66,CMN,2024-03-11 21:00:00,20.0,Royal Air Maroc,2.43,-1.31,1004,62,4.02,293,85,Clouds,0.0,0.0
landed,A66,CTG,2024-03-11 09:00:00,46.0,Air Transat,-3.73,-10.73,994,84,8.23,280,100,Clouds,0.0,0.0
landed,A52,CUN,2024-03-11 08:00:00,39.0,Air Canada,-3.7,-10.7,995,82,8.75,270,75,Clouds,0.0,0.0
landed,A59,CUN,2024-03-11 13:00:00,23.0,Flair Airlines,-2.79,-9.59,999,75,7.2,290,100,Clouds,0.0,0.0
landed,A66,CUN,2024-03-11 17:00:00,41.0,Air Canada Rouge,-0.5,-7.5,1001,71,9.77,290,100,Clouds,0.0,0.0
landed,A64,CUN,2024-03-11 07:00:00,64.0,Air Transat,-3.49,-10.49,995,86,8.23,270,100,Mist,0.0,0.0
landed,A55,CUN,2024-03-11 14:00:00,17.0,Air Transat,-1.79,-7.81,999,72,6.17,290,100,Clouds,0.0,0.0
landed,A51,CUN,2024-03-11 11:00:00,34.0,Sunwing,-3.52,-10.52,997,76,7.72,280,100,Clouds,0.0,0.0
scheduled,A68,CUN,2024-03-11 16:00:00,292.0,Sunwing,-0.85,-5.65,1001,73,4.47,270,100,Clouds,0.0,0.0
landed,A67,CZM,2024-03-11 09:00:00,4.0,Air Canada Rouge,-3.73,-10.73,994,84,8.23,280,100,Clouds,0.0,0.0
scheduled,,DCA,2024-03-11 08:00:00,51.0,empty,-3.7,-10.7,995,82,8.75,270,75,Clouds,0.0,0.0
scheduled,,DCA,2024-03-11 08:00:00,51.0,Air Canada,-3.7,-10.7,995,82,8.75,270,75,Clouds,0.0,0.0
landed,,DCA,2024-03-11 13:00:00,21.0,Air Canada,-2.79,-9.59,999,75,7.2,290,100,Clouds,0.0,0.0
scheduled,C79,DCA,2024-03-11 08:00:00,21.0,Air Canada,-3.7,-10.7,995,82,8.75,270,75,Clouds,0.0,0.0
scheduled,C82,DCA,2024-03-11 13:00:00,21.0,Air Canada,-2.79,-9.59,999,75,7.2,290,100,Clouds,0.0,0.0
landed,C73,DCA,2024-03-11 19:00:00,29.0,Air Canada,1.38,-1.56,1002,68,2.68,293,100,Clouds,0.0,0.0
scheduled,,DCA,2024-03-11 08:00:00,21.0,Jazz,-3.7,-10.7,995,82,8.75,270,75,Clouds,0.0,0.0
scheduled,,DCA,2024-03-11 13:00:00,21.0,Jazz,-2.79,-9.59,999,75,7.2,290,100,Clouds,0.0,0.0
landed,A60,DEL,2024-03-11 20:00:00,8.0,Air Canada,2.12,-1.4,1003,66,3.58,248,100,Clouds,0.0,0.0
landed,C84,DEN,2024-03-11 08:00:00,52.0,Air Canada,-3.7,-10.7,995,82,8.75,270,75,Clouds,0.0,0.0
landed,C81,DFW,2024-03-11 15:00:00,56.0,American Airlines,-1.11,-7.65,999,71,7.72,280,100,Clouds,0.0,0.0
landed,C75,DFW,2024-03-11 18:00:00,81.0,Air Canada,0.18,-2.99,1002,70,2.68,293,100,Clouds,0.0,0.0
landed,A66,AGP,2024-02-11 20:00:00,26.0,Air Transat,2.53,-0.19,1011,75,2.68,248,100,Clouds,0.0,0.0
cancelled,A57,AMS,2024-02-11 19:00:00,,KLM,2.71,-0.68,1011,76,3.58,248,100,Clouds,0.0,0.0
landed,C88,ATL,2024-02-11 18:00:00,18.0,Air Canada,3.06,-0.54,1011,75,4.02,270,83,Clouds,0.0,0.0
landed,C86,ATL,2024-02-11 07:00:00,16.0,Delta Air Lines,3.14,0.17,1008,83,3.13,270,100,Clouds,0.0,0.0
landed,C86,ATL,2024-02-11 15:00:00,32.0,Delta Air Lines,2.67,-2.36,1011,76,6.69,260,100,Clouds,0.0,0.0
active,A64,AZS,2024-02-11 15:00:00,26.0,Air Transat,2.67,-2.36,1011,76,6.69,260,100,Clouds,0.0,0.0
landed,A60,BCN,2024-02-11 18:00:00,25.0,Air Canada,3.06,-0.54,1011,75,4.02,270,83,Clouds,0.0,0.0
active,,BED,2024-02-11 15:00:00,,AirNet,2.67,-2.36,1011,76,6.69,260,100,Clouds,0.0,0.0
