Departure Delay (min),Temperature,Feels Like,Pressure,Humidity,Wind Speed,Wind Degree,Clouds,Rain 1h,Snow 1h,Departure Gate,Arrival IATA Code,Airline Name,Weather Main,Departure Time of Day,Weekday of Departure,Weather Severity,Season,Visibility
-0.3886196648107344,-0.7177515859582331,-0.5629127497918966,0.4369504621667608,-0.883799120447993,-0.6948008665626814,0.8979088380511505,-0.7782319823415863,-0.15595403613210118,-0.1836758772780989,22.0,17.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0
-0.12288463266848001,-0.5874489275357253,-0.1874780468759116,0.11183028046752153,-1.0711992044929344,-0.7600021029644213,-0.1914240781174815,0.793398966602747,-0.15595403613210118,-0.1836758772780989,31.0,17.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0
-0.2195155534474816,-1.5478820053465692,-1.8308167983939772,0.4369504621667608,0.927735025319773,0.17199204089574233,-1.6536817763978975,-1.8703823027944282,-0.15595403613210118,-0.1836758772780989,15.0,13.0,17.0,3.0,2.0,1.0,1.0,1.0,1.0
-0.304067609129108,-0.10284016418909533,-0.20826335914807687,0.5453238560665072,0.6154015519115374,-0.046623869392444284,-1.4966608155087253,-1.2310747981391061,-0.15595403613210118,-0.1836758772780989,21.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
-0.4973294506871112,-0.10284016418909533,-0.20826335914807687,0.5453238560665072,0.6154015519115374,-0.046623869392444284,-1.4966608155087253,-1.2310747981391061,-0.15595403613210118,-0.1836758772780989,25.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
-0.485250585589736,-0.10430423900283138,-0.13421568417848817,0.5453238560665072,-0.5714656470397576,-0.2805812470692754,-1.3101984244528333,-1.6839176139366259,-0.15595403613210118,-0.1836758772780989,26.0,17.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
-0.304067609129108,-1.0779139901372996,-0.6226705225743717,2.0625513706629572,-0.5714656470397576,-0.8673923746849338,0.01466593304955699,0.7667611539087752,-0.15595403613210118,-0.1836758772780989,23.0,26.0,1.0,1.0,1.0,5.0,1.0,1.0,0.0
0.18150276778537505,-0.18629242857204975,-0.19397345696096327,0.6536972499662537,0.5529348572298904,-0.34961785031817627,-1.3101984244528333,0.793398966602747,-0.15595403613210118,-0.1836758772780989,22.0,22.0,8.0,1.0,2.0,2.0,1.0,0.0,0.0
-0.4490139902976104,-0.1365138849050243,-0.2550303117604487,-1.297023840229182,-0.5089989523581104,-0.008270200920832587,1.1236264693293356,0.793398966602747,-0.15595403613210118,-0.1836758772780989,25.0,17.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0
-0.4006985299081096,-0.3004902640434611,-0.3134890025259135,-1.0802770524296892,-0.5089989523581104,-0.34961785031817627,0.6820050168285388,0.5536586523570012,-0.15595403613210118,-0.1836758772780989,22.0,25.0,10.0,1.0,0.0,5.0,1.0,0.0,0.0
-0.1953578232527312,-0.49521221427035467,-0.9097676483336543,-1.0802770524296892,0.5529348572298904,1.157681320616162,1.0941850391626158,0.793398966602747,-0.15595403613210118,-0.1836758772780989,22.0,26.0,1.0,1.0,2.0,5.0,1.0,0.0,0.0
-0.4006985299081096,-0.49521221427035467,-0.9097676483336543,-1.0802770524296892,0.5529348572298904,1.157681320616162,1.0941850391626158,0.793398966602747,-0.15595403613210118,-0.1836758772780989,22.0,26.0,10.0,1.0,2.0,5.0,1.0,0.0,0.0
