Departure IATA Code,Arrival IATA Code,latitude,longitude,flt_distance
yul,pdx,45.5887,-122.598,3745.0858008641267
yul,stp,44.9345,-93.06,1510.831863822691
yul,bgr,44.8074,-68.8281,392.5343332244742
yul,fab,51.2758,-0.776333,5203.237135488802
yul,ych,47.0078,-65.4492,660.3586034341124
yul,cmh,39.998,-82.8919,962.1176274991607
yul,bct,26.3785,-80.1077,2196.5486168416164
yul,cae,33.9388,-81.1195,1427.0468758197599
yul,oma,41.3032,-95.8941,1842.222647283632
yul,ugn,42.4222,-87.8679,1178.4291433565604
yul,mkc,39.1232,-94.5928,1847.2578721010202
yul,luk,39.1033,-84.4186,1125.8940086187426
yul,fxe,26.1973,-80.1707,2217.6016109817256
yul,buf,42.9405,-78.7322,486.5236921068308
yul,bvy,42.5842,-70.9165,392.1437838692699
yul,yqg,42.2756,-82.9556,818.4189743793421
yul,ygv,50.2819,-63.6114,925.0597777056767
yul,eis,18.4448,-64.543,3122.5385344647843
yul,ysg,62.4183,-110.682,2997.1047268171656
yul,bna,36.1245,-86.6782,1501.150229275985
yul,yhu,,,
yul,srq,27.3954,-82.5544,2155.0890982155033
yul,ilm,34.2706,-77.9026,1293.9226515575913
yul,myr,33.6797,-78.9283,1382.9971360090303
yul,cmi,40.0392,-88.2781,1328.4707467518992
yul,cak,40.9161,-81.4422,802.6495783755357
yul,sjc,37.3626,-121.929,4054.396865598164
yul,anu,17.1367,-61.7927,3339.915251151429
yul,cfg,22.15,-80.4142,2662.4469279294103
yul,dal,32.8471,-96.8518,2422.458605786667
yul,cle,41.4117,-81.8498,793.9592833568439
yul,ind,39.7173,-86.2944,1207.8039816069052
yul,gua,14.5833,-90.5275,3777.468375654501
yul,gua,14.5817,-90.5267,3777.6029981192705
yul,dsm,41.534,-93.6631,1660.095506457911
yul,acy,39.4576,-74.5772,671.5346777589484
yul,cia,,,
yul,lin,,,
yul,yyb,46.3636,-79.4228,450.30183715707284
yul,ygp,48.7753,-64.4786,791.1258558184335
yul,orh,42.2673,-71.8757,385.9146701995565
yul,ith,42.491,-76.4584,395.58528244524865
yul,cvg,39.0488,-84.6678,1145.9011832434512
yul,mdw,41.7861,-87.7525,1197.4274200515176
yul,lgb,33.8177,-118.152,3959.76280378099
yul,chs,32.8986,-80.0405,1497.816943584563
yul,rkv,64.13,-21.9406,3762.603166423014
yul,sbm,43.7696,-87.8514,1130.762437369741
yul,sua,27.1817,-80.2211,2112.4293358061063
yul,bfi,47.53,-122.302,3662.811691432296
yul,waw,52.1657,20.9671,6466.407857079137
yul,xcm,42.3064,-82.0819,754.2813744036358
yul,sgf,37.2457,-93.3886,1869.9122324864393
yul,rdu,35.8776,-78.7875,1147.2066035283597
yul,ycm,43.1917,-79.1717,500.06519339829975
yul,syr,43.1112,-76.1063,322.23214388484917
yul,pbg,44.6509,-73.4681,93.18476039421739
yul,fpr,27.4951,-80.3683,2082.2624056661452
yul,ttn,40.2767,-74.8135,583.5026123910271
yul,yfb,63.7564,-68.5558,2059.487325798216
yul,oxc,41.4786,-73.1352,446.06878136973285
yul,fwa,40.9785,-85.1951,1052.0029574436023
yul,fmo,52.1346,7.68483,5690.805117375413
yul,mht,42.9326,-71.4357,336.4795414705413
yul,hnl,21.3206,-157.924,7895.6930959956335
yul,scf,33.6229,-111.911,3487.6005898131725
yul,sav,32.1276,-81.2021,1616.0045699437037
yul,dlh,46.8421,-92.1936,1425.8960239617527
yul,enw,42.5957,-87.9278,1176.0851280931488
yul,pdk,33.8756,-84.302,1570.9167700973514
yul,yhm,43.1736,-79.935,554.2394949299168
yul,jed,21.6796,39.1565,9945.708658401432
yul,mss,44.9358,-74.8456,104.40721466542661
yul,yqx,48.9369,-54.5681,1494.8620321411963
yul,gsp,34.8957,-82.2189,1376.4364607445186
yul,ggt,23.5626,-75.878,2443.1094155566025
yul,bwi,39.1753,-76.6683,739.4481986705372
yul,dwc,24.8964,55.1614,10642.259272224086
yul,bzr,43.3235,3.3539,5883.911949291028
yul,ory,,,
yul,yey,48.5639,-78.2497,484.90599989554244
yul,bsl,,,
yul,cpr,42.908,-106.464,2606.0546355093293
yul,bjc,39.9088,-105.117,2619.5587076854613
yul,bqh,51.3308,0.0325,5252.474526851344
yul,mzj,32.5106,-111.328,3512.7560402390045
yul,lbg,,,
yul,ykf,43.4558,-80.3858,572.1974215744932
yul,day,39.9024,-84.2194,1054.8280700616933
yul,ptk,42.6655,-83.4201,832.6572003769423
yul,yip,,,
