Departure Delay (min),Temperature,Feels Like,Pressure,Humidity,Wind Speed,Wind Degree,Clouds,Rain 1h,Snow 1h,Departure Gate,Arrival IATA Code,Airline Name,Weather Main,Departure Time of Day,Weekday of Departure,Weather Severity,Season,Visibility
-0.15359155370866193,-0.5543695520644251,-0.15442541899094805,0.06410868789262397,-1.1212339728649539,-0.7561427994053502,-0.1543571861811794,0.7621716347398099,-0.16509417315792713,-0.1926723061434772,31.0,17.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0
-0.2473371924739948,-1.5200489838982774,-1.8079948640035646,0.38774366306629143,0.8737425424237807,0.18828975119506197,-1.5975223718030007,-1.9262716182528161,-0.16509417315792713,-0.1926723061434772,15.0,13.0,17.0,3.0,2.0,1.0,1.0,1.0,1.0
-0.32936462639366104,-0.06711361923362455,-0.17534013133893375,0.49562198812418057,0.5620274619099159,-0.033243810056886654,-1.4425516136154226,-1.281045237534586,-0.16509417315792713,-0.1926723061434772,21.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
-0.5168559039243268,-0.06711361923362455,-0.17534013133893375,0.49562198812418057,0.5620274619099159,-0.033243810056886654,-1.4425516136154226,-1.281045237534586,-0.16509417315792713,-0.1926723061434772,25.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
-0.5051376990786601,-0.06858569153824932,-0.10083146859923484,0.49562198812418057,-0.6224898440427703,-0.27032358613353324,-1.2585238382676736,-1.7380805905433323,-0.16509417315792713,-0.1926723061434772,26.0,17.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
-0.32936462639366104,-1.0475137741137246,-0.5923272087768978,2.0059185389346283,-0.6224898440427703,-0.8649663031782371,0.04904193394001687,0.7352872022098836,-0.16509417315792713,-0.1926723061434772,23.0,26.0,1.0,1.0,1.0,5.0,1.0,1.0,0.0
0.14170720840213666,-0.15102174059723672,-0.16096126659969362,0.6035003131820696,0.499684445807143,-0.3402815528446748,-1.2585238382676736,0.7621716347398099,-0.16509417315792713,-0.1926723061434772,22.0,22.0,8.0,1.0,2.0,2.0,1.0,0.0,0.0
-0.4699830845416604,-0.10097128223999437,-0.22239823412190146,-1.3383095378599348,-0.5601468279399974,0.005621727004858738,1.1435229136397873,0.7621716347398099,-0.16509417315792713,-0.1926723061434772,25.0,17.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0
-0.4231102651589939,-0.2658433803579692,-0.28122086260061113,-1.1225528877441566,-0.5601468279399974,-0.3402815528446748,0.7076676562372238,0.5202117419704736,-0.16509417315792713,-0.1926723061434772,22.0,25.0,10.0,1.0,0.0,5.0,1.0,0.0,0.0
-0.22390078278266157,-0.46162899687306425,-0.8812116730834498,-1.1225528877441566,0.499684445807143,1.1871340536819175,1.1144658964796164,0.7621716347398099,-0.16509417315792713,-0.1926723061434772,22.0,26.0,1.0,1.0,2.0,5.0,1.0,0.0,0.0
-0.4231102651589939,-0.46162899687306425,-0.8812116730834498,-1.1225528877441566,0.499684445807143,1.1871340536819175,1.1144658964796164,0.7621716347398099,-0.16509417315792713,-0.1926723061434772,22.0,26.0,10.0,1.0,2.0,5.0,1.0,0.0,0.0
