Flight Status,Departure Airport,Departure Gate,Arrival IATA Code,Scheduled Departure,Actual Departure,Delay (in Minutes),Airline Name,Flight Number,Timestamp,Temperature,Feels Like,Pressure,Humidity,Wind Speed,Wind Degree,Clouds,Weather Main,Weather Description,Rain 1h,Snow 1h
active,YUL,C87,DTW,2024-02-25 17:00:00,,13.0,Delta Air Lines,DL5367,2024-02-25 17:00:00,-1.48,-4.48,1016,61,2.24,203,30,Clouds,scattered clouds,0.0,0.0
active,YUL,A63,DXB,2024-02-25 09:00:00,2024-02-25 09:00:00,10.0,Emirates,EK244,2024-02-25 09:00:00,-12.44,-17.73,1018,74,2.48,228,45,Clouds,scattered clouds,0.0,0.0
landed,YUL,C87,EWR,2024-02-25 08:00:00,2024-02-25 08:00:00,26.0,Air Canada,AC8938,2024-02-25 08:00:00,-12.2,-12.2,1018,70,0.89,270,18,Clouds,few clouds,0.0,0.0
active,YUL,C77,EWR,2024-02-25 13:00:00,2024-02-25 13:00:00,22.0,Air Canada,AC8940,2024-02-25 13:00:00,-9.5,-9.5,1018,71,0.89,180,15,Clouds,few clouds,0.0,0.0
active,YUL,C83,EWR,2024-02-25 15:00:00,,15.0,Air Canada,AC8942,2024-02-25 15:00:00,-5.38,-8.4,1017,63,1.79,203,30,Clouds,scattered clouds,0.0,0.0
active,YUL,C73,EWR,2024-02-25 20:00:00,,17.0,Air Canada,AC8946,2024-02-25 20:00:00,0.98,-1.05,1013,56,1.79,158,98,Clouds,overcast clouds,0.0,0.0
landed,YUL,C82,EWR,2024-02-25 07:00:00,2024-02-25 07:00:00,14.0,United Airlines,UA3456,2024-02-25 07:00:00,-12.64,-12.64,1018,68,0.89,248,16,Clouds,few clouds,0.0,0.0
landed,YUL,C80,EWR,2024-02-25 11:00:00,2024-02-25 11:00:00,11.0,United Airlines,UA3680,2024-02-25 11:00:00,-12.4,-12.4,1018,77,0.89,180,46,Clouds,scattered clouds,0.0,0.0
landed,YUL,A67,FCO,2024-02-25 20:00:00,2024-02-25 21:00:00,15.0,Air Canada,AC892,2024-02-25 20:00:00,0.98,-1.05,1013,56,1.79,158,98,Clouds,overcast clouds,0.0,0.0
active,YUL,C56,FLL,2024-02-25 08:00:00,2024-02-25 09:00:00,63.0,Air Canada,AC1002,2024-02-25 08:00:00,-12.2,-12.2,1018,70,0.89,270,18,Clouds,few clouds,0.0,0.0
active,YUL,C56,FLL,2024-02-25 13:00:00,2024-02-25 13:00:00,13.0,Air Canada,AC1004,2024-02-25 13:00:00,-9.5,-9.5,1018,71,0.89,180,15,Clouds,few clouds,0.0,0.0
active,YUL,C85,FLL,2024-02-25 15:00:00,,35.0,Flair Airlines,F81100,2024-02-25 15:00:00,-5.38,-8.4,1017,63,1.79,203,30,Clouds,scattered clouds,0.0,0.0
active,YUL,C75,FLL,2024-02-25 07:00:00,2024-02-25 08:00:00,38.0,Air Canada Rouge,RV1600,2024-02-25 07:00:00,-12.64,-12.64,1018,68,0.89,248,16,Clouds,few clouds,0.0,0.0
active,YUL,C75,FLL,2024-02-25 16:00:00,2024-02-25 16:00:00,10.0,Air Canada Rouge,RV1606,2024-02-25 16:00:00,-2.96,-5.6,1017,60,1.79,203,30,Clouds,scattered clouds,0.0,0.0
landed,YUL,C58,FLL,2024-02-25 06:00:00,2024-02-25 07:00:00,32.0,Air Transat,TS844,2024-02-25 06:00:00,-12.8,-12.8,1018,66,0.45,203,8,Clear,clear sky,0.0,0.0
active,YUL,C84,FLL,2024-02-25 16:00:00,,37.0,Air Transat,TS846,2024-02-25 16:00:00,-2.96,-5.6,1017,60,1.79,203,30,Clouds,scattered clouds,0.0,0.0
active,YUL,A58,FRA,2024-02-25 18:00:00,2024-02-25 18:00:00,40.0,Air Canada,AC844,2024-02-25 18:00:00,-0.43,-2.68,1014,60,1.79,135,28,Clouds,scattered clouds,0.0,0.0
